,Unnamed: 0,Source IP,Source Port,Destination IP,Destination Port,classification,priority,label,packet info,packet info cont'd,xref,Date,Time,cat_src,cat_dst
0,207,172.23.5.110,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:06:00,ext_dns,int_dns_server
1,260,172.23.1.107,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
2,261,172.23.1.106,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
3,262,172.23.1.112,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
4,263,172.23.1.109,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
5,264,172.23.5.113,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
6,265,172.23.1.115,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
7,266,172.23.1.111,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
8,267,172.23.1.108,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
9,268,172.23.1.110,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
10,269,172.23.1.120,1027,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
11,270,172.23.1.125,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
12,271,172.23.1.128,1027,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
13,272,172.23.1.103,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
14,273,172.23.1.104,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
15,274,172.23.1.119,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
16,275,172.23.1.127,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
17,276,172.23.1.114,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
18,277,172.23.1.105,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
19,278,172.23.1.126,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
20,279,172.23.1.130,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
21,280,172.23.1.113,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
22,281,172.23.1.100,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
23,282,172.23.1.101,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
24,283,172.23.5.114,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
25,284,172.23.5.120,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
26,285,172.23.5.121,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
27,286,172.23.5.117,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
28,287,172.23.5.124,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
29,288,172.23.5.115,1026,172.23.0.10,53, Potential Corporate Privacy Violation,1, [1:2009702:4] ET POLICY DNS Update From External net ,,,[Xref => http://doc.emergingthreats.net/2009702],2012-04-05,18:07:00,ext_dns,int_dns_server
30,2118,10.32.5.51,6667,172.23.234.254,1230, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,TCP TTL:128 TOS:0x0 ID:26570 IpLen:20 DgmLen:149 DF,***AP*** Seq: 0xEA8AE9D6  Ack: 0x5FAA8D77  Win: 0xFFFF  TcpLen: 20,[Xref => http://doc.emergingthreats.net/2000355],2012-04-05,20:25:00,ext_website,ext_dns
31,2119,10.32.5.56,6667,172.23.234.25,1231, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,TCP TTL:128 TOS:0x0 ID:22809 IpLen:20 DgmLen:147 DF,***AP*** Seq: 0xD242640  Ack: 0x5003B19A  Win: 0xFFFF  TcpLen: 20,[Xref => http://doc.emergingthreats.net/2000355],2012-04-05,20:25:00,ext_website,ext_dns
32,2120,10.32.5.54,6667,172.23.234.252,1236, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,TCP TTL:128 TOS:0x0 ID:50015 IpLen:20 DgmLen:147 DF,***AP*** Seq: 0xB2F8EF98  Ack: 0xE7D6C836  Win: 0xFFFF  TcpLen: 20,[Xref => http://doc.emergingthreats.net/2000355],2012-04-05,20:25:00,ext_website,ext_dns
33,2121,10.32.5.56,6667,172.23.240.31,1260, Misc activity,3, [1:2000355:5] ET POLICY IRC authorization message ,TCP TTL:128 TOS:0x0 ID:22912 IpLen:20 DgmLen:147 DF,***AP*** Seq: 0xBEDE7B75  Ack: 0x8146B7FD  Win: 0xFFFF  TcpLen: 20,[Xref => http://doc.emergingthreats.net/2000355],2012-04-05,20:25:00,ext_website,ext_dns
