Date/time,Syslog priority,Operation,Message code,Protocol,Source IP,Destination IP,Source port,Destination port,Destination service,Direction,Connections built,Connections torn down,Hour,Day,DayOfWeek,Source_IsInternal,Source_NodeType,Source_Priority,Dest_IsInternal,Dest_NodeType,Dest_Priority,JoinKey,DestPortStr
,Info,Teardown,ASA-6-302016,UDP,172.23.0.1,172.23.0.2,514,514,syslog,,0,1,17,5,3,True,Firewall,High,True,LogServer,High,172.23.0.1_172.23.0.2,514
,Info,Built,ASA-6-302015,UDP,172.23.0.1,172.23.0.2,514,514,syslog,outbound,1,0,17,5,3,True,Firewall,High,True,LogServer,High,172.23.0.1_172.23.0.2,514
,Info,Built,ASA-6-302015,UDP,172.23.0.10,198.32.64.12,64048,53,domain,outbound,1,0,17,5,3,True,DomainController/DNS,High,False,Unknown,Normal,172.23.0.10_198.32.64.12,53
,Info,Built,ASA-6-302015,UDP,172.23.0.10,202.12.27.33,64048,53,domain,outbound,1,0,17,5,3,True,DomainController/DNS,High,False,Unknown,Normal,172.23.0.10_202.12.27.33,53
,Info,Built,ASA-6-302015,UDP,172.23.0.10,128.9.0.107,64048,53,domain,outbound,1,0,17,5,3,True,DomainController/DNS,High,False,Unknown,Normal,172.23.0.10_128.9.0.107,53
,Info,Built,ASA-6-302015,UDP,172.23.0.10,192.33.4.12,64048,53,domain,outbound,1,0,17,5,3,True,DomainController/DNS,High,False,Unknown,Normal,172.23.0.10_192.33.4.12,53
,Info,Built,ASA-6-302015,UDP,172.23.0.10,198.41.0.4,64048,53,domain,outbound,1,0,17,5,3,True,DomainController/DNS,High,False,Unknown,Normal,172.23.0.10_198.41.0.4,53
,Info,Built,ASA-6-302015,UDP,172.23.0.10,192.36.148.17,64048,53,domain,outbound,1,0,17,5,3,True,DomainController/DNS,High,False,Unknown,Normal,172.23.0.10_192.36.148.17,53
,Info,Built,ASA-6-302015,UDP,172.23.0.10,193.0.14.129,64048,53,domain,outbound,1,0,17,5,3,True,DomainController/DNS,High,False,Unknown,Normal,172.23.0.10_193.0.14.129,53
,Info,Built,ASA-6-302015,UDP,172.23.0.10,192.203.230.10,64048,53,domain,outbound,1,0,17,5,3,True,DomainController/DNS,High,False,Unknown,Normal,172.23.0.10_192.203.230.10,53
,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,198.32.64.12,64048,53,domain,outbound,0,1,17,5,3,True,DomainController/DNS,High,False,Unknown,Normal,172.23.0.10_198.32.64.12,53
,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,192.36.148.17,64048,53,domain,outbound,0,1,17,5,3,True,DomainController/DNS,High,False,Unknown,Normal,172.23.0.10_192.36.148.17,53
,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,198.41.0.4,64048,53,domain,outbound,0,1,17,5,3,True,DomainController/DNS,High,False,Unknown,Normal,172.23.0.10_198.41.0.4,53
,Info,Teardown,ASA-6-302016,UDP,172.23.0.10,193.0.14.129,64048,53,domain,outbound,0,1,17,5,3,True,DomainController/DNS,High,False,Unknown,Normal,172.23.0.10_193.0.14.129,53
