,Date/time,Syslog priority,Operation,Message code,Protocol,Source IP,Destination IP,Source port,Destination port,Destination service,Direction,Connections built,Connections torn down,Hour,Day,DayOfWeek,Source_IsInternal,Source_NodeType,Source_Priority,Dest_IsInternal,Dest_NodeType,Dest_Priority
0,2012-04-05 17:51:26,Info,Teardown,ASA-6-302016,UDP,172.23.0.1,172.23.0.2,514.0,514.0,syslog,,0.0,1.0,17.0,5.0,3.0,True,Firewall,High,True,LogServer,High
1,2012-04-05 17:51:26,Info,Built,ASA-6-302015,UDP,172.23.0.1,172.23.0.2,514.0,514.0,syslog,outbound,1.0,0.0,17.0,5.0,3.0,True,Firewall,High,True,LogServer,High
2,2012-04-05 17:53:06,Info,Built,ASA-6-302015,UDP,172.23.0.10,198.32.64.12,64048.0,53.0,domain,outbound,1.0,0.0,17.0,5.0,3.0,True,DomainController/DNS,High,False,Unknown,Normal
3,2012-04-05 17:53:10,Info,Built,ASA-6-302015,UDP,172.23.0.10,202.12.27.33,64048.0,53.0,domain,outbound,1.0,0.0,17.0,5.0,3.0,True,DomainController/DNS,High,False,Unknown,Normal
4,2012-04-05 17:53:14,Info,Built,ASA-6-302015,UDP,172.23.0.10,128.9.0.107,64048.0,53.0,domain,outbound,1.0,0.0,17.0,5.0,3.0,True,DomainController/DNS,High,False,Unknown,Normal
5,2012-04-05 17:53:14,Info,Built,ASA-6-302015,UDP,172.23.0.10,192.33.4.12,64048.0,53.0,domain,outbound,1.0,0.0,17.0,5.0,3.0,True,DomainController/DNS,High,False,Unknown,Normal
6,2012-04-05 17:53:26,Info,Built,ASA-6-302015,UDP,172.23.0.10,198.41.0.4,64048.0,53.0,domain,outbound,1.0,0.0,17.0,5.0,3.0,True,DomainController/DNS,High,False,Unknown,Normal
7,2012-04-05 17:53:30,Info,Built,ASA-6-302015,UDP,172.23.0.10,192.36.148.17,64048.0,53.0,domain,outbound,1.0,0.0,17.0,5.0,3.0,True,DomainController/DNS,High,False,Unknown,Normal
8,2012-04-05 17:54:47,Info,Built,ASA-6-302015,UDP,172.23.0.10,193.0.14.129,64048.0,53.0,domain,outbound,1.0,0.0,17.0,5.0,3.0,True,DomainController/DNS,High,False,Unknown,Normal
9,2012-04-05 17:54:59,Info,Built,ASA-6-302015,UDP,172.23.0.10,192.203.230.10,64048.0,53.0,domain,outbound,1.0,0.0,17.0,5.0,3.0,True,DomainController/DNS,High,False,Unknown,Normal
